name,name,name,name,description,children,userCount,parentId,parentName,owner,level
a,,,,1,,,,,,
a,aa,,,2,,,,,,
a,aa,aaa,,3,,,,,,
a,aa,aab,,4,,,,,,
a,aa,aac,,5,,,,,,
a,ab,,,6,,,,,,
a,ab,aba,,7,,,,,,
a,ab,abb,,8,,,,,,
a,ab,abc,,9,,,,,,
a,ab,abd,,10,,,,,,
a,ab,abd,abda,11,,,,,,
a,ab,abd,abdb,12,,,,,,
a,ab,abd,adbc,13,,,,,,
b,,,,14,,,,,,
b,ba,,,15,,,,,,
b,bb,,,16,,,,,,
b,bc,,,17,,,,,,
b,bc,bca,,18,,,,,,
b,bc,bcb,,19,,,,,,
c,,,,20,,,,,,
d,,,,21,,,,,,
d,da,,,22,,,,,,
d,da,daa,,23,,,,,,
d,da,dab,,24,,,,,,
d,db,,,25,,,,,,
d,db,dba,,26,,,,,,
d,db,dbb,,27,,,,,,
d,db,dbc,,28,,,,,,
